k;LL;perplexity
2;-3306159,15788728;5070,46103577929
5;-3211945,56311018;3976,18863201387
10;-3128870,23465770;3208,99180292711
15;-3076274,30814976;2801,73451101149
20;-3031733,38168051;2497,53847815496
25;-2996180,20813730;2278,60749680059
30;-2964377,85032636;2099,08588265848
35;-2937276,49012494;1957,30753024839
40;-2916348,93410425;1854,41358465695
45;-2986376,07459953;1640,23122407564
50;-2968817,16213174;1570,37179691272
55;-2950622,21775286;1501,11925367099
60;-2843144,62876012;1535,21848561467
65;-2827056,91813645;1472,79227402802
70;-2813675,34332271;1422,80517032986
75;-2799759,55853169;1372,62122349333
80;-2787415,69721917;1329,58945112013
85;-2773706,43589421;1283,37707230759
90;-2761126,64779167;1242,38653552628
