id;url;title;date_modified
74-20070311;https://yle.fi/a/74-20070311;Taiwan hakee oppia Suomen maanpuolustuskoulutuksesta – ulkoministeri Wu Ylelle: ”Suomi tarjoaa täydellisen mallin meille”;22.1.2024 5:20
74-20070196;https://yle.fi/a/74-20070196;Johannes Roviomaan kolumni: Seuraava presidentti on puikoissa vuoteen 2030 asti. Tuolloin arktinen merijää voi olla kesäaikana sulana;22.1.2024 6:45
74-20070594;https://yle.fi/a/74-20070594;Puolustusvoimat avaa suurta sotaharjoitusta: Nato-harjoitukseen osallistuu 4 000 suomalaista;22.1.2024 13:46
74-20070714;https://yle.fi/a/74-20070714;Sotilaallinen varustelu arktisella alueella kiihtyy  – presidentti Niinistö ei näe ”välittömiä tarpeita” Suomen pohjoisten tukikohtien vahvistamiseen;22.1.2024 18:32
74-20070729;https://yle.fi/a/74-20070729;CNN Türk: Ruotsin Nato-jäsenyys Turkin parlamentin käsittelyyn huomenna;22.1.2024 19:34
74-20070735;https://yle.fi/a/74-20070735;Kaksikielisessä presidentinvaalikeskustelussa oltiin huolestuneita Tiktokin vaikutuksista ja erimielisiä sisäpolitiikkaan puuttumisesta;22.1.2024 21:15
74-20070744;https://yle.fi/a/74-20070744;MPKK:n sotilasprofessori: Venäjän sotilaallisen voimankäytön kynnys on laskenut;22.1.2024 22:59
74-20070653;https://yle.fi/a/74-20070653;Sotiva maailma sai Riihimäen satsaamaan puolustusteollisuuteen: kaupunki palkkasi kenraalin;23.1.2024 20:12
74-20070962;https://yle.fi/a/74-20070962;Ruotsin ulkoministeri Ylelle: Arvioimme nyt Orbánin lähettämää kutsua;23.1.2024 21:43
74-20070943;https://yle.fi/a/74-20070943;Turkin parlamentti hyväksyi Ruotsin Nato-hakemuksen;23.1.2024 22:25
74-20070922;https://yle.fi/a/74-20070922;Johanna Vuorelman kolumni: Jos tiedät varmasti, mikä on totuus Venäjän hyökkäyssodasta, haasta itsesi;24.1.2024 6:45
74-20070950;https://yle.fi/a/74-20070950;Analyysi: Ruotsin Nato-jäsenyys ei vielä loppuunkäsitelty – Erdoğanin jälkeen vastassa on nyt Unkarin Viktor Orbán;24.1.2024 7:31
74-20071105;https://yle.fi/a/74-20071105;Porin ja Rauman satamille EU:n sotilaallisen liikkuvuuden kehittämisrahaa;24.1.2024 14:44
74-20071118;https://yle.fi/a/74-20071118;Orbán: Unkari tukee Ruotsin Nato-jäsenyyttä;24.1.2024 15:44
74-20070926;https://yle.fi/a/74-20070926;Tuleeko Venäjä testaamaan Suomen uutta presidenttiä? Tätä mieltä ovat asiantuntijat;24.1.2024 17:56
74-20071174;https://yle.fi/a/74-20071174;Katso keskiviikon viisi pääuutista;24.1.2024 20:30
74-20071091;https://yle.fi/a/74-20071091;Unkarin johtaja Viktor Orbán on Putinin taskussa, mutta kysymys kuuluu, miten syvällä – ja onko siitä vaaraa Natolle;25.1.2024 5:20
74-20071173;https://yle.fi/a/74-20071173;Katso aamun pääuutiset;25.1.2024 6:30
74-20066924;https://yle.fi/a/74-20066924;Ykkösaamun vieraana on Eduskuntatutkimuksen keskuksen johtaja Markku Jokisipilä – mitä haluat kysyä häneltä?;25.1.2024 10:51
74-20071413;https://yle.fi/a/74-20071413;Ruotsin Nato-jäsenyys sai viimein sinetin Turkissa – Erdoğan allekirjoitti ratifiointiasiakirjan;25.1.2024 21:46
74-20071625;https://yle.fi/a/74-20071625;Näihin asioihin toimittajat eivät ole saaneet presidenttiehdokkailta vastauksia;26.1.2024 20:55
74-20071582;https://yle.fi/a/74-20071582;Markku Jokisipilä: Itärajan tapahtumat eivät ole enää Suomen oma asia, koska se on myös Venäjän ja Naton välinen raja;27.1.2024 8:04
74-20071686;https://yle.fi/a/74-20071686;Yhdysvallat hyväksyi hävittäjäkaupat Turkkiin ja Kreikkaan;27.1.2024 18:00
74-20071294;https://yle.fi/a/74-20071294;Presidentinvaalin äänestysprosentti voi nousta lukemaan, joka olisi ”poikkeuksellinen suomalaisessa vaalihistoriassa”;28.1.2024 7:45
74-20071730;https://yle.fi/a/74-20071730;Ulkomaista mediaa kiinnostaa Suomen vaaleissa Venäjä-suhde ja turvallisuus: ”Äänestäjät etsivät mini-Niinistöä”;28.1.2024 16:55
74-20071715;https://yle.fi/a/74-20071715;Analyysi: Yksi asia ratkaisi sen, että toisella kierroksella ovat Stubb ja Haavisto eikä Halla-aho;28.1.2024 21:45
74-20071757;https://yle.fi/a/74-20071757;Millaisia miehiä ovat Alexander Stubb ja Pekka Haavisto? Tässä pikahenkilökuvat;28.1.2024 23:01
